2026-05-10 13:07:57,913 | INFO | Ticker AEIS reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 13:07:57,914 | INFO | Ticker AEIS done. months_processed=1 kept_articles=0
2026-05-10 13:08:16,012 | INFO | Ticker AEP reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 13:08:16,013 | INFO | Ticker AEP done. months_processed=1 kept_articles=30
2026-05-10 13:08:44,881 | WARNING | GDELT status=429. Sleeping 15.7s then retry/skip. query=("AGNC Investment Corp" OR "AGNC Investment earnings" OR "AGNC stock") sourcelang:english
2026-05-10 13:09:07,308 | INFO | Ticker AGNC reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 13:09:07,309 | INFO | Ticker AGNC done. months_processed=1 kept_articles=30
2026-05-10 13:09:42,249 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=%28%22Akebia+Therapeutics%22+OR+%22Akebia+Thera. Retry/skip.
2026-05-10 13:10:04,797 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=%28%22Akebia+Therapeutics%22+OR+%22Akebia+Thera. Retry/skip.
2026-05-10 13:10:16,898 | WARNING | GDELT status=429. Sleeping 15.0s then retry/skip. query=("Akebia Therapeutics" OR "Akebia Therapeutics earnings" OR "Akebia Therapeutics stock" OR "AKBA stock") sourcelang:english
2026-05-10 13:10:41,024 | WARNING | GDELT status=429. Sleeping 30.1s then retry/skip. query=("Akebia Therapeutics" OR "Akebia Therapeutics earnings" OR "Akebia Therapeutics stock" OR "AKBA stock") sourcelang:english
2026-05-10 13:11:31,088 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=%28%22Akebia+Therapeutics%22+OR+%22Akebia+Thera. Retry/skip.
2026-05-10 13:11:53,474 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=%28%22Akebia+Therapeutics%22+OR+%22Akebia+Thera. Retry/skip.
2026-05-10 13:11:58,092 | INFO | Ticker AKBA fallback split window 2018-01-01 -> 2018-01-31 got 0 articles
2026-05-10 13:11:58,149 | INFO | Ticker AKBA reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 13:11:58,150 | INFO | Ticker AKBA done. months_processed=1 kept_articles=0
2026-05-10 13:11:58,522 | WARNING | GDELT request failed: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer')). Retry/skip.
2026-05-10 13:12:21,110 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=%28%22AMC+Entertainment+Holdings%22+OR+%22AMC+E. Retry/skip.
